run_name,source,target,seed,epoch,total,cls,qdom,qcls,div,sda,rho,grl,lr,val_loss,val_accuracy,val_macro_f1
AT1_to_DK1_seed1,AT1,DK1,1,33,0.3084,0.0754,3.5501,3.7925,-8.4364,1.3267,1.0,1.0,0.000755,0.1593,0.95,0.7991
AT1_to_DK1_seed1,AT1,DK1,1,34,0.735,0.0812,3.8281,3.9327,-8.4426,1.3356,1.0,1.0,0.000741,0.2154,0.92,0.7617
AT1_to_DK1_seed1,AT1,DK1,1,35,0.0857,0.0726,3.439,3.699,-8.4419,1.317,1.0,1.0,0.000727,0.1135,0.96,0.8442
AT1_to_DK1_seed1,AT1,DK1,1,36,0.1634,0.069,3.4384,3.7799,-8.4278,1.3039,1.0,1.0,0.000713,0.1502,0.95,0.8284
AT1_to_DK1_seed1,AT1,DK1,1,37,0.1088,0.0667,3.3243,3.7795,-8.4042,1.3426,1.0,1.0,0.000699,0.1413,0.95,0.8286
AT1_to_DK1_seed1,AT1,DK1,1,38,-0.3748,0.0635,3.131,3.5196,-8.4018,1.3129,1.0,1.0,0.000684,0.1787,0.95,0.7734
AT1_to_DK1_seed1,AT1,DK1,1,39,-0.5228,0.0582,3.0537,3.4699,-8.419,1.3144,1.0,1.0,0.000669,0.1649,0.95,0.7989
AT1_to_DK1_seed1,AT1,DK1,1,40,-0.6876,0.0558,2.9911,3.4065,-8.4449,1.3041,1.0,1.0,0.000655,0.1667,0.95,0.8162
AT1_to_DK1_seed1,AT1,DK1,1,41,-0.3902,0.0569,2.9953,3.6316,-8.397,1.323,1.0,1.0,0.000639,0.1641,0.96,0.8288
AT1_to_DK1_seed1,AT1,DK1,1,42,-0.3591,0.0566,3.1264,3.5417,-8.4071,1.3233,1.0,1.0,0.000624,0.1555,0.95,0.7977
AT1_to_DK1_seed1,AT1,DK1,1,43,-0.5322,0.0525,3.1543,3.3455,-8.3956,1.311,1.0,1.0,0.000609,0.1808,0.95,0.7976
AT1_to_DK1_seed1,AT1,DK1,1,44,-0.2434,0.0581,3.1707,3.6295,-8.4486,1.3469,1.0,1.0,0.000594,0.1714,0.95,0.8375
AT1_to_DK1_seed1,AT1,DK1,1,45,-0.5264,0.0546,3.2911,3.2482,-8.4158,1.2955,1.0,1.0,0.000578,0.17,0.95,0.8131
AT1_to_DK1_seed1,AT1,DK1,1,46,-0.4625,0.0564,3.4982,3.0883,-8.4059,1.3005,1.0,1.0,0.000563,0.1774,0.95,0.8124
AT1_to_DK1_seed1,AT1,DK1,1,47,-0.6895,0.0575,3.2309,3.1502,-8.4116,1.2835,1.0,1.0,0.000547,0.1833,0.95,0.7982
AT1_to_DK1_seed1,AT1,DK1,1,48,-0.1571,0.0613,3.5374,3.3439,-8.424,1.3243,1.0,1.0,0.000531,0.1833,0.95,0.8144
AT1_to_DK1_seed1,AT1,DK1,1,49,-0.3323,0.0612,3.4149,3.3092,-8.4087,1.291,1.0,1.0,0.000516,0.1842,0.95,0.7824
AT1_to_DK1_seed1,AT1,DK1,1,50,-1.1255,0.051,2.9841,3.0238,-8.4315,1.2472,1.0,1.0,0.0005,0.173,0.95,0.8107
AT1_to_DK1_seed1,AT1,DK1,1,51,-0.7426,0.0513,3.2011,3.104,-8.3829,1.284,1.0,1.0,0.000484,0.2232,0.94,0.7685
AT1_to_DK1_seed1,AT1,DK1,1,52,-0.655,0.0584,3.2157,3.1845,-8.3889,1.2753,1.0,1.0,0.000469,0.1567,0.96,0.8196
AT1_to_DK1_seed1,AT1,DK1,1,53,0.4439,0.0777,3.6224,3.8041,-8.4025,1.3422,1.0,1.0,0.000453,0.1634,0.95,0.8331
AT1_to_DK1_seed1,AT1,DK1,1,54,-0.7393,0.0598,3.1283,3.2295,-8.4074,1.2505,1.0,1.0,0.000437,0.2635,0.92,0.7583
AT1_to_DK1_seed1,AT1,DK1,1,55,-0.5085,0.0537,3.371,3.2079,-8.4089,1.2678,1.0,1.0,0.000422,0.166,0.95,0.8139
AT1_to_DK1_seed1,AT1,DK1,1,56,-0.7085,0.0524,3.2288,3.2348,-8.4551,1.2305,1.0,1.0,0.000406,0.1669,0.96,0.7867
AT1_to_DK1_seed1,AT1,DK1,1,57,-0.5046,0.0518,3.1277,3.4484,-8.3987,1.2662,1.0,1.0,0.000391,0.1787,0.95,0.7921
AT1_to_DK1_seed1,AT1,DK1,1,58,-0.7745,0.0495,3.1681,3.1679,-8.4209,1.261,1.0,1.0,0.000376,0.1792,0.95,0.8091
AT1_to_DK1_seed1,AT1,DK1,1,59,-1.2178,0.0519,2.9498,2.9532,-8.4259,1.2531,1.0,1.0,0.000361,0.1908,0.95,0.7859
AT1_to_DK1_seed1,AT1,DK1,1,60,-1.0741,0.0486,3.0868,2.9515,-8.3898,1.2288,1.0,1.0,0.000345,0.1726,0.95,0.8054
AT1_to_DK1_seed1,AT1,DK1,1,61,-1.3034,0.0429,2.956,2.8818,-8.4105,1.2264,1.0,1.0,0.000331,0.1992,0.95,0.794
AT1_to_DK1_seed1,AT1,DK1,1,62,-1.2663,0.0422,3.0011,2.8921,-8.4126,1.2109,1.0,1.0,0.000316,0.1788,0.95,0.804
AT1_to_DK1_seed1,AT1,DK1,1,63,-1.1879,0.0427,2.9113,3.0546,-8.4201,1.2235,1.0,1.0,0.000301,0.2061,0.95,0.77
AT1_to_DK1_seed1,AT1,DK1,1,64,-1.3617,0.0437,2.97,2.8836,-8.4301,1.1711,1.0,1.0,0.000287,0.2118,0.94,0.7992
AT1_to_DK1_seed1,AT1,DK1,1,65,-1.1244,0.0451,3.0717,2.9766,-8.4096,1.1918,1.0,1.0,0.000273,0.1832,0.95,0.8214
AT1_to_DK1_seed1,AT1,DK1,1,66,-1.3725,0.0397,2.8887,2.9001,-8.3778,1.1769,1.0,1.0,0.000259,0.1818,0.95,0.7922
AT1_to_DK1_seed1,AT1,DK1,1,67,-0.5206,0.0529,3.3641,3.2802,-8.4659,1.2481,1.0,1.0,0.000245,0.2295,0.94,0.7855
AT1_to_DK1_seed1,AT1,DK1,1,68,-0.7469,0.0471,3.2,3.2098,-8.3761,1.1723,1.0,1.0,0.000232,0.1924,0.95,0.8003
AT1_to_DK1_seed1,AT1,DK1,1,69,-0.9878,0.0412,3.159,3.0392,-8.4355,1.2083,1.0,1.0,0.000219,0.2119,0.94,0.7909
AT1_to_DK1_seed1,AT1,DK1,1,70,-0.9129,0.0396,3.1426,3.0681,-8.4014,1.2382,1.0,1.0,0.000206,0.173,0.95,0.807
AT1_to_DK1_seed1,AT1,DK1,1,71,-1.3786,0.0384,2.8599,2.9768,-8.3796,1.1259,1.0,1.0,0.000194,0.1762,0.95,0.815
AT1_to_DK1_seed1,AT1,DK1,1,72,-1.0077,0.0364,3.1377,3.0571,-8.4286,1.1897,1.0,1.0,0.000181,0.2382,0.94,0.7642
AT1_to_DK1_seed1,AT1,DK1,1,73,-0.6408,0.0385,3.2772,3.223,-8.387,1.2073,1.0,1.0,0.000169,0.209,0.95,0.8039
AT1_to_DK1_seed1,AT1,DK1,1,74,-0.9435,0.0379,3.1851,3.1021,-8.4083,1.1397,1.0,1.0,0.000158,0.2079,0.95,0.8102
