run_name,source,target,seed,true_class,pred_class,count
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,spring_barley,4
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,spring_oat,9
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,winter_barley,3
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,winter_rapeseed,0
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,winter_rye,122
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,winter_triticale,57
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,winter_wheat,178
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,corn,0
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,horsebeans,1
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,meadow,34
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,spring_barley,0
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,spring_oat,0
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,winter_barley,4
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,winter_rapeseed,0
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,winter_rye,6
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,winter_triticale,20
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,winter_wheat,26
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,corn,73
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,horsebeans,38
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,meadow,503
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,spring_barley,16
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,spring_oat,17
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,winter_barley,5
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,winter_rapeseed,0
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,winter_rye,75
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,winter_triticale,77
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,winter_wheat,1183
AT1_to_DK1_seed2,AT1,DK1,2,corn,corn,600
AT1_to_DK1_seed2,AT1,DK1,2,corn,horsebeans,30
AT1_to_DK1_seed2,AT1,DK1,2,corn,meadow,88
AT1_to_DK1_seed2,AT1,DK1,2,corn,spring_barley,13
AT1_to_DK1_seed2,AT1,DK1,2,corn,spring_oat,27
AT1_to_DK1_seed2,AT1,DK1,2,corn,winter_barley,8
AT1_to_DK1_seed2,AT1,DK1,2,corn,winter_rapeseed,0
AT1_to_DK1_seed2,AT1,DK1,2,corn,winter_rye,0
AT1_to_DK1_seed2,AT1,DK1,2,corn,winter_triticale,12
AT1_to_DK1_seed2,AT1,DK1,2,corn,winter_wheat,36
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,corn,25
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,horsebeans,20
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,meadow,19
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,spring_barley,1
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,spring_oat,5
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,winter_barley,0
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,winter_rapeseed,0
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,winter_rye,0
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,winter_triticale,0
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,winter_wheat,0
AT1_to_DK1_seed2,AT1,DK1,2,meadow,corn,2
AT1_to_DK1_seed2,AT1,DK1,2,meadow,horsebeans,3
AT1_to_DK1_seed2,AT1,DK1,2,meadow,meadow,2007
AT1_to_DK1_seed2,AT1,DK1,2,meadow,spring_barley,6
AT1_to_DK1_seed2,AT1,DK1,2,meadow,spring_oat,68
AT1_to_DK1_seed2,AT1,DK1,2,meadow,winter_barley,175
AT1_to_DK1_seed2,AT1,DK1,2,meadow,winter_rapeseed,3
AT1_to_DK1_seed2,AT1,DK1,2,meadow,winter_rye,23
AT1_to_DK1_seed2,AT1,DK1,2,meadow,winter_triticale,191
AT1_to_DK1_seed2,AT1,DK1,2,meadow,winter_wheat,31
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,corn,70
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,horsebeans,432
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,meadow,321
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,spring_barley,344
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,spring_oat,1341
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,winter_barley,45
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,winter_rapeseed,4
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,winter_rye,16
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,winter_triticale,74
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,winter_wheat,117
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,corn,22
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,horsebeans,32
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,meadow,62
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,spring_barley,19
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,spring_oat,141
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,winter_barley,7
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,winter_rapeseed,1
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,winter_rye,0
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,winter_triticale,3
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,winter_wheat,13
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,corn,1
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,horsebeans,2
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,meadow,20
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,spring_barley,2
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,spring_oat,5
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,winter_barley,282
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,winter_rapeseed,4
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,winter_rye,120
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,winter_triticale,215
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,winter_wheat,95
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,corn,0
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,horsebeans,4
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,meadow,139
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,spring_barley,3
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,spring_oat,2
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,winter_barley,37
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,winter_rapeseed,131
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,winter_rye,170
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,winter_triticale,85
